Hydrolysate	Biomass	Bisabolene	Al	Ca	Fe	K	Mg	Na	P	S	Si	Ash	Protein	Lignin	Glucan	Xylan   	Galactan	Arabinan	Acetyl   	Cellobiose	Glucose	Xylose	Arabinose	Lactic Acid	Acetic Acid
Batch 2 High Ash High Moisture (HAHM)	86.8	1.70442	0.1	11.54	1.9	0.86	12.61	13.29	1.13	9.46	3.7	9.31	2.63	17.71	35.56	20.07	1.42	3.19	1.63	2.64	94.99	58.6	6.21	3.68	0.1
Batch 2 High Ash High Moisture (HAHM)	84.4	1.79636	0.1	11.54	1.9	0.86	12.61	13.29	1.13	9.46	3.7	9.31	2.63	17.71	35.56	20.07	1.42	3.19	1.63	2.64	94.99	58.6	6.21	3.68	0.1
Batch 2 High Ash High Moisture (HAHM)	98.4	1.68853	0.1	11.54	1.9	0.86	12.61	13.29	1.13	9.46	3.7	9.31	2.63	17.71	35.56	20.07	1.42	3.19	1.63	2.64	94.99	58.6	6.21	3.68	0.1
Batch 3 Low Ash High Moisture (LAHM)	100	1.8476	0.05	9.57	1.48	0.61	8.63	4.36	0.73	0.43	3.01	5.72	2.29	17.62	38.15	21.36	1.48	3.16	1.82	3.48	113	72.77	8.12	3.42	0.19
Batch 3 Low Ash High Moisture (LAHM)	101.2	1.77504	0.05	9.57	1.48	0.61	8.63	4.36	0.73	0.43	3.01	5.72	2.29	17.62	38.15	21.36	1.48	3.16	1.82	3.48	113	72.77	8.12	3.42	0.19
Batch 3 Low Ash High Moisture (LAHM)	100.8	1.79628	0.05	9.57	1.48	0.61	8.63	4.36	0.73	0.43	3.01	5.72	2.29	17.62	38.15	21.36	1.48	3.16	1.82	3.48	113	72.77	8.12	3.42	0.19
Batch 2 High Ash High Moisture (HAHM)	49.6	1.59369	0.1	11.54	1.9	0.86	12.61	13.29	1.13	9.46	3.7	9.31	2.63	17.71	35.56	20.07	1.42	3.19	1.63	2.64	94.99	58.6	6.21	3.68	0.1
Batch 3 Low Ash High Moisture (LAHM)	69.2	1.12955	0.05	9.57	1.48	0.61	8.63	4.36	0.73	0.43	3.01	5.72	2.29	17.62	38.15	21.36	1.48	3.16	1.82	3.48	113	72.77	8.12	3.42	0.19
Batch 3 Low Ash High Moisture (LAHM)	33.2	1.9966	0.05	9.57	1.48	0.61	8.63	4.36	0.73	0.43	3.01	5.72	2.29	17.62	38.15	21.36	1.48	3.16	1.82	3.48	113	72.77	8.12	3.42	0.19
Batch 2 High Ash High Moisture (HAHM)	73.2	1.37087	0.1	11.54	1.9	0.86	12.61	13.29	1.13	9.46	3.7	9.31	2.63	17.71	35.56	20.07	1.42	3.19	1.63	2.64	94.99	58.6	6.21	3.68	0.1
Batch 2 High Ash High Moisture (HAHM)	73.6	1.4076	0.1	11.54	1.9	0.86	12.61	13.29	1.13	9.46	3.7	9.31	2.63	17.71	35.56	20.07	1.42	3.19	1.63	2.64	94.99	58.6	6.21	3.68	0.1
Batch 2 High Ash High Moisture (HAHM)	72	1.27278	0.1	11.54	1.9	0.86	12.61	13.29	1.13	9.46	3.7	9.31	2.63	17.71	35.56	20.07	1.42	3.19	1.63	2.64	94.99	58.6	6.21	3.68	0.1
Batch 3 Low Ash High Moisture (LAHM)	91.2	1.62097	0.05	9.57	1.48	0.61	8.63	4.36	0.73	0.43	3.01	5.72	2.29	17.62	38.15	21.36	1.48	3.16	1.82	3.48	113	72.77	8.12	3.42	0.19
Batch 3 Low Ash High Moisture (LAHM)	92	1.69152	0.05	9.57	1.48	0.61	8.63	4.36	0.73	0.43	3.01	5.72	2.29	17.62	38.15	21.36	1.48	3.16	1.82	3.48	113	72.77	8.12	3.42	0.19
Batch 3 Low Ash High Moisture (LAHM)	87.2	1.81164	0.05	9.57	1.48	0.61	8.63	4.36	0.73	0.43	3.01	5.72	2.29	17.62	38.15	21.36	1.48	3.16	1.82	3.48	113	72.77	8.12	3.42	0.19
Batch 4 Low Ash Low Moisture (LALM)	82.2	1.61121	0.06	10.51	1.73	0.78	5.81	4.1	0.92	0.49	3.95	6.62	2.47	17.02	36.79	20.53	1.51	3.24	2.4	2.05	76.9	49.68	5.4	3.71	0.17
Batch 4 Low Ash Low Moisture (LALM)	56.8	1.48406	0.06	10.51	1.73	0.78	5.81	4.1	0.92	0.49	3.95	6.62	2.47	17.02	36.79	20.53	1.51	3.24	2.4	2.05	76.9	49.68	5.4	3.71	0.17
Batch 4 Low Ash Low Moisture (LALM)	77.4	1.07037	0.06	10.51	1.73	0.78	5.81	4.1	0.92	0.49	3.95	6.62	2.47	17.02	36.79	20.53	1.51	3.24	2.4	2.05	76.9	49.68	5.4	3.71	0.17
Batch 5 High Ash Low Moisture (HALM)	53.2	1.17941	0.01	4.99	0.34	0.51	2.45	3.2	0.67	0.68	2.6	13.04	2.28	17.58	33.03	16.94	1.16	2.38	1.57	2.55	90.56	40.01	3.24	0.37	0.19
Batch 5 High Ash Low Moisture (HALM)	46.6	1.12986	0.01	4.99	0.34	0.51	2.45	3.2	0.67	0.68	2.6	13.04	2.28	17.58	33.03	16.94	1.16	2.38	1.57	2.55	90.56	40.01	3.24	0.37	0.19
Batch 5 High Ash Low Moisture (HALM)	52.2	1.19961	0.01	4.99	0.34	0.51	2.45	3.2	0.67	0.68	2.6	13.04	2.28	17.58	33.03	16.94	1.16	2.38	1.57	2.55	90.56	40.01	3.24	0.37	0.19
